!SIL	SIL
<SPOKEN_NOISE>	SPN
ㅇㅣㄹᴥㅍㅜㅁᴥㅁㅕㅇᴥㄱㅏᴥ	f11 m20 e7 f17 m13 e15 f6 m6 e20 f0 m0
ㅇㅣㄹᴥㅍㅜㅁᴥㅎㅏㄴᴥㅇㅜᴥ	f11 m20 e7 f17 m13 e15 f18 m0 e3 f11 m13
ㅇㅣㄹᴥㅎㅐᴥ	f11 m20 e7 f18 m1
ㅇㅣㄹᴥㅎㅐᴥㅇㅛᴥ	f11 m20 e7 f18 m1 f11 m12
ㅇㅣㄹᴥㅎㅕㄴᴥㄹㅗᴥ	f11 m20 e7 f18 m6 e3 f5 m8
ㅇㅣㄹᴥㅎㅗᴥ	f11 m20 e7 f18 m8
ㅇㅣㄹᴥㅎㅗᴥㄱㅏㅁᴥㅈㅏᴥㅌㅏㅇᴥ	f11 m20 e7 f18 m8 f0 m0 e15 f12 m0 f16 m0 e20
ㅇㅣㄹᴥㅎㅡㅇᴥ	f11 m20 e7 f18 m18 e20
ㅇㅣㄺᴥㅇㅓᴥㅈㅝᴥ	f11 m20 e8 f11 m4 f12 m14
ㅇㅣㅁᴥ	f11 m20 e15
ㅇㅣㅁᴥㄱㅏᴥㄴㅔᴥ	f11 m20 e15 f0 m0 f2 m5
ㅇㅣㅁᴥㄱㅓㄴᴥㅇㅜᴥ	f11 m20 e15 f0 m4 e3 f11 m13
ㅇㅣㅁᴥㄱㅕㅇᴥㄷㅐᴥ	f11 m20 e15 f0 m6 e20 f3 m1
ㅇㅣㅁᴥㄱㅕㅇᴥㅁㅣㄴᴥ	f11 m20 e15 f0 m6 e20 f6 m20 e3
ㅇㅣㅁᴥㄱㅕㅇᴥㅅㅓㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m6 e20 f9 m4 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㄱㅕㅇᴥㅅㅜㄴᴥ	f11 m20 e15 f0 m6 e20 f9 m13 e3
ㅇㅣㅁᴥㄱㅕㅇᴥㅅㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m6 e20 f9 m20 e15 f11 m5 f0 m5
ㅇㅣㅁᴥㄱㅕㅇᴥㅈㅣㄴᴥ	f11 m20 e15 f0 m6 e20 f12 m20 e3
ㅇㅣㅁᴥㄱㅕㅇᴥㅎㅘㄴᴥ	f11 m20 e15 f0 m6 e20 f18 m9 e3
ㅇㅣㅁᴥㄱㅖᴥ	f11 m20 e15 f0 m7
ㅇㅣㅁᴥㄱㅖᴥㅁㅕㄴᴥ	f11 m20 e15 f0 m7 f6 m6 e3
ㅇㅣㅁᴥㄱㅗᴥㅁㅕㄴᴥ	f11 m20 e15 f0 m8 f6 m6 e3
ㅇㅣㅁᴥㄱㅗᴥㅇㅡㄴᴥ	f11 m20 e15 f0 m8 f11 m18 e3
ㅇㅣㅁᴥㄱㅗᴥㅈㅜㅇᴥㅎㅏㄱᴥㄱㅛᴥ	f11 m20 e15 f0 m8 f12 m13 e20 f18 m0 e0 f0 m12
ㅇㅣㅁᴥㄱㅗㄱᴥ	f11 m20 e15 f0 m8 e0
ㅇㅣㅁᴥㄱㅗㄱᴥㄱㅣㄹᴥ	f11 m20 e15 f0 m8 e0 f0 m20 e7
ㅇㅣㅁᴥㄱㅘㅇᴥ	f11 m20 e15 f0 m9 e20
ㅇㅣㅁᴥㄱㅘㅇᴥㅅㅜᴥ	f11 m20 e15 f0 m9 e20 f9 m13
ㅇㅣㅁᴥㄱㅘㅇᴥㅇㅏᴥㅍㅏᴥㅌㅡᴥ	f11 m20 e15 f0 m9 e20 f11 m0 f17 m0 f16 m18
ㅇㅣㅁᴥㄱㅘㅇᴥㅎㅓㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m9 e20 f18 m4 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㄱㅡㄴᴥㅅㅜᴥ	f11 m20 e15 f0 m18 e3 f9 m13
ㅇㅣㅁᴥㄱㅡㄴᴥㅎㅗᴥ	f11 m20 e15 f0 m18 e3 f18 m8
ㅇㅣㅁᴥㄱㅡㅁᴥㄴㅣㅁᴥ	f11 m20 e15 f0 m18 e15 f2 m20 e15
ㅇㅣㅁᴥㄱㅡㅁᴥㄴㅣㅁᴥㅆㅏㄹᴥㅂㅏㅂᴥㅈㅣㅂᴥ	f11 m20 e15 f0 m18 e15 f2 m20 e15 f10 m0 e7 f7 m0 e16 f12 m20 e16
ㅇㅣㅁᴥㄱㅡㅁᴥㅇㅛㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m18 e15 f11 m12 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㄱㅡㅁᴥㅎㅢᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m18 e15 f18 m19 f11 m5 f0 m5
ㅇㅣㅁᴥㄱㅣᴥㅌㅐᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m20 f16 m1 f11 m5 f0 m5
ㅇㅣㅁᴥㄱㅣᴥㅎㅗᴥ	f11 m20 e15 f0 m20 f18 m8
ㅇㅣㅁᴥㄱㅣᴥㅎㅗᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f0 m20 f18 m8 f11 m5 f0 m5
ㅇㅣㅁᴥㄷㅏᴥㅂㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f3 m0 f7 m20 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㄷㅏᴥㅇㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f3 m0 f11 m6 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㄷㅏㅇᴥㄷㅗㅇᴥ	f11 m20 e15 f3 m0 e20 f3 m8 e20
ㅇㅣㅁᴥㄷㅏㅇᴥㅇㅕㄱᴥ	f11 m20 e15 f3 m0 e20 f11 m6 e0
ㅇㅣㅁᴥㄷㅐᴥ	f11 m20 e15 f3 m1
ㅇㅣㅁᴥㄷㅐᴥㄹㅣᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f3 m1 f5 m20 f11 m5 f0 m5
ㅇㅣㅁᴥㄷㅗㅇᴥ	f11 m20 e15 f3 m8 e20
ㅇㅣㅁᴥㄷㅗㅇᴥㄱㅠᴥ	f11 m20 e15 f3 m8 e20 f0 m17
ㅇㅣㅁᴥㄷㅗㅇᴥㄱㅠᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f3 m8 e20 f0 m17 f11 m5 f0 m5
ㅇㅣㅁᴥㄷㅗㅇᴥㅁㅕㄴᴥ	f11 m20 e15 f3 m8 e20 f6 m6 e3
ㅇㅣㅁᴥㄷㅗㅇᴥㅅㅐㅇᴥㅎㅏㄴᴥㅌㅔᴥ	f11 m20 e15 f3 m8 e20 f9 m1 e20 f18 m0 e3 f16 m5
ㅇㅣㅁᴥㄷㅗㅇᴥㅅㅜᴥ	f11 m20 e15 f3 m8 e20 f9 m13
ㅇㅣㅁᴥㄷㅜᴥㅎㅕㄴᴥ	f11 m20 e15 f3 m13 f18 m6 e3
ㅇㅣㅁᴥㄹㅏㅇᴥ	f11 m20 e15 f5 m0 e20
ㅇㅣㅁᴥㄹㅏㅇᴥㅎㅐᴥㅅㅜᴥㅇㅛㄱᴥㅈㅏㅇᴥ	f11 m20 e15 f5 m0 e20 f18 m1 f9 m13 f11 m12 e0 f12 m0 e20
ㅇㅣㅁᴥㅁㅏᴥㄴㅜᴥㅇㅔㄹᴥ	f11 m20 e15 f6 m0 f2 m13 f11 m5 e7
ㅇㅣㅁᴥㅁㅕㅇᴥㅅㅜㄱᴥ	f11 m20 e15 f6 m6 e20 f9 m13 e0
ㅇㅣㅁᴥㅁㅕㅇᴥㅅㅜㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f6 m6 e20 f9 m13 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅁㅕㅇᴥㅅㅣㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f6 m6 e20 f9 m20 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅁㅕㅇᴥㅎㅢᴥ	f11 m20 e15 f6 m6 e20 f18 m19
ㅇㅣㅁᴥㅁㅣᴥㅅㅜㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f6 m20 f9 m13 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅁㅣᴥㅎㅕㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f6 m20 f18 m6 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅁㅣㄴᴥㅅㅓㄱᴥ	f11 m20 e15 f6 m20 e3 f9 m4 e0
ㅇㅣㅁᴥㅂㅏㄱᴥㅅㅏᴥ	f11 m20 e15 f7 m0 e0 f9 m0
ㅇㅣㅁᴥㅂㅏㄴᴥㅅㅏㅇᴥ	f11 m20 e15 f7 m0 e3 f9 m0 e20
ㅇㅣㅁᴥㅂㅏㅇᴥㅇㅜㄹᴥㄷㅐᴥㄹㅗᴥ	f11 m20 e15 f7 m0 e20 f11 m13 e7 f3 m1 f5 m8
ㅇㅣㅁᴥㅂㅕㅇᴥㄱㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f7 m6 e20 f0 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅂㅕㅇᴥㄱㅣᴥ	f11 m20 e15 f7 m6 e20 f0 m20
ㅇㅣㅁᴥㅂㅕㅇᴥㄹㅗㄱᴥ	f11 m20 e15 f7 m6 e20 f5 m8 e0
ㅇㅣㅁᴥㅂㅕㅇᴥㅇㅕㄹᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f7 m6 e20 f11 m6 e7 f11 m5 f0 m5
ㅇㅣㅁᴥㅂㅕㅇᴥㅇㅗᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f7 m6 e20 f11 m8 f11 m5 f0 m5
ㅇㅣㅁᴥㅂㅕㅇᴥㅇㅗㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f7 m6 e20 f11 m8 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅂㅗᴥ	f11 m20 e15 f7 m8
ㅇㅣㅁᴥㅂㅗᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f7 m8 f11 m5 f0 m5
ㅇㅣㅁᴥㅂㅜㄱᴥㄹㅣᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f7 m13 e0 f5 m20 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏᴥㄹㅏㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 f5 m0 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏᴥㅈㅏㅇᴥ	f11 m20 e15 f9 m0 f12 m0 e20
ㅇㅣㅁᴥㅅㅏᴥㅈㅏㅇᴥㄴㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 f12 m0 e20 f2 m20 e15 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏㄴᴥㅁㅜㄹᴥ	f11 m20 e15 f9 m0 e3 f6 m13 e7
ㅇㅣㅁᴥㅅㅏㅇᴥㄱㅠㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 e20 f0 m17 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏㅇᴥㅂㅓㅁᴥ	f11 m20 e15 f9 m0 e20 f7 m4 e15
ㅇㅣㅁᴥㅅㅏㅇᴥㅅㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 e20 f9 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏㅇᴥㅇㅝㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 e20 f11 m14 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏㅇᴥㅇㅣㄹᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 e20 f11 m20 e7 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏㅇᴥㅊㅓㄹᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 e20 f14 m4 e7 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅏㅇᴥㅎㅗᴥ	f11 m20 e15 f9 m0 e20 f18 m8
ㅇㅣㅁᴥㅅㅏㅇᴥㅎㅜㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m0 e20 f18 m13 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓᴥㅂㅏㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 f7 m0 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㄱᴥㄹㅣᴥ	f11 m20 e15 f9 m4 e0 f5 m20
ㅇㅣㅁᴥㅅㅓㄴᴥㄹㅏㄱᴥ	f11 m20 e15 f9 m4 e3 f5 m0 e0
ㅇㅣㅁᴥㅅㅓㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㄴᴥㅌㅐㄱᴥ	f11 m20 e15 f9 m4 e3 f16 m1 e0
ㅇㅣㅁᴥㅅㅓㄴᴥㅎㅢᴥ	f11 m20 e15 f9 m4 e3 f18 m19
ㅇㅣㅁᴥㅅㅓㅇᴥㄱㅜㄴᴥ	f11 m20 e15 f9 m4 e20 f0 m13 e3
ㅇㅣㅁᴥㅅㅓㅇᴥㅁㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 e20 f6 m20 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㅇᴥㅂㅐㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 e20 f7 m1 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㅇᴥㅂㅣㄴᴥ	f11 m20 e15 f9 m4 e20 f7 m20 e3
ㅇㅣㅁᴥㅅㅓㅇᴥㅇㅜᴥ	f11 m20 e15 f9 m4 e20 f11 m13
ㅇㅣㅁᴥㅅㅓㅇᴥㅇㅡㄴᴥ	f11 m20 e15 f9 m4 e20 f11 m18 e3
ㅇㅣㅁᴥㅅㅓㅇᴥㅇㅣㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 e20 f11 m20 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㅇᴥㅈㅐᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 e20 f12 m1 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㅇᴥㅊㅓㄹᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m4 e20 f14 m4 e7 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅓㅇᴥㅍㅣㄹᴥ	f11 m20 e15 f9 m4 e20 f17 m20 e7
ㅇㅣㅁᴥㅅㅓㅇᴥㅎㅜㄴᴥ	f11 m20 e15 f9 m4 e20 f18 m13 e3
ㅇㅣㅁᴥㅅㅔᴥㄱㅠᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m5 f0 m17 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅔᴥㄹㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m5 f5 m6 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅔᴥㅇㅘᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m5 f11 m9 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅗᴥㄴㅕᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m8 f2 m6 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅜᴥㄷㅐㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m13 f3 m1 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅜᴥㄷㅐㅇᴥㅎㅏㄴᴥㅌㅔᴥ	f11 m20 e15 f9 m13 f3 m1 e20 f18 m0 e3 f16 m5
ㅇㅣㅁᴥㅅㅜᴥㅇㅏᴥ	f11 m20 e15 f9 m13 f11 m0
ㅇㅣㅁᴥㅅㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅜᴥㅈㅓㅇᴥ	f11 m20 e15 f9 m13 f12 m4 e20
ㅇㅣㅁᴥㅅㅜᴥㅎㅕㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m13 f18 m6 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅜㄴᴥㅇㅐᴥㄴㅣㅁᴥ	f11 m20 e15 f9 m13 e3 f11 m1 f2 m20 e15
ㅇㅣㅁᴥㅅㅜㄴᴥㅈㅐᴥ	f11 m20 e15 f9 m13 e3 f12 m1
ㅇㅣㅁᴥㅅㅜㄴᴥㅎㅢᴥ	f11 m20 e15 f9 m13 e3 f18 m19
ㅇㅣㅁᴥㅅㅡㅇᴥㅁㅗᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f9 m18 e20 f6 m8 f11 m5 f0 m5
ㅇㅣㅁᴥㅅㅣᴥㅊㅓㅇᴥㅅㅏᴥ	f11 m20 e15 f9 m20 f14 m4 e20 f9 m0
ㅇㅣㅁᴥㅅㅣㄹᴥ	f11 m20 e15 f9 m20 e7
ㅇㅣㅁᴥㅅㅣㄹᴥㄱㅜㄴᴥ	f11 m20 e15 f9 m20 e7 f0 m13 e3
ㅇㅣㅁᴥㅅㅣㄹᴥㄱㅜㄴᴥㅊㅓㅇᴥ	f11 m20 e15 f9 m20 e7 f0 m13 e3 f14 m4 e20
ㅇㅣㅁᴥㅅㅣㄹᴥㅅㅣᴥㅈㅏㅇᴥㅌㅗㅇᴥ	f11 m20 e15 f9 m20 e7 f9 m20 f12 m0 e20 f16 m8 e20
ㅇㅣㅁᴥㅅㅣㄹᴥㅈㅓㅁᴥ	f11 m20 e15 f9 m20 e7 f12 m4 e15
ㅇㅣㅁᴥㅅㅣㄹᴥㅍㅣᴥㅈㅏᴥ	f11 m20 e15 f9 m20 e7 f17 m20 f12 m0
ㅇㅣㅁᴥㅇㅏㅁᴥ	f11 m20 e15 f11 m0 e15
ㅇㅣㅁᴥㅇㅐᴥㄹㅣᴥ	f11 m20 e15 f11 m1 f5 m20
ㅇㅣㅁᴥㅇㅑᴥ	f11 m20 e15 f11 m2
ㅇㅣㅁᴥㅇㅓㅂᴥ	f11 m20 e15 f11 m4 e16
ㅇㅣㅁᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅕᴥㅅㅏᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m6 f9 m0 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅕㄴᴥㅎㅢᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m6 e3 f18 m19 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅕㅇᴥㄱㅠᴥ	f11 m20 e15 f11 m6 e20 f0 m17
ㅇㅣㅁᴥㅇㅕㅇᴥㅁㅣᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m6 e20 f6 m20 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅕㅇᴥㅅㅜᴥ	f11 m20 e15 f11 m6 e20 f9 m13
ㅇㅣㅁᴥㅇㅕㅇᴥㅇㅐᴥ	f11 m20 e15 f11 m6 e20 f11 m1
ㅇㅣㅁᴥㅇㅕㅇᴥㅎㅜㄴᴥ	f11 m20 e15 f11 m6 e20 f18 m13 e3
ㅇㅣㅁᴥㅇㅕㅇᴥㅎㅢᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m6 e20 f18 m19 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅖᴥㅅㅓᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m7 f9 m4 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅖᴥㅈㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m7 f12 m20 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅗᴥㅂㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m8 f7 m20 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅗᴥㅅㅏㄴᴥㄹㅗᴥ	f11 m20 e15 f11 m8 f9 m0 e3 f5 m8
ㅇㅣㅁᴥㅇㅛᴥㅇㅑㅇᴥ	f11 m20 e15 f11 m12 f11 m2 e20
ㅇㅣㅁᴥㅇㅛᴥㅇㅑㅇᴥㅂㅕㅇᴥㅇㅝㄴᴥ	f11 m20 e15 f11 m12 f11 m2 e20 f7 m6 e20 f11 m14 e3
ㅇㅣㅁᴥㅇㅛㅇᴥㅈㅜㄴᴥ	f11 m20 e15 f11 m12 e20 f12 m13 e3
ㅇㅣㅁᴥㅇㅛㅇᴥㅈㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m12 e20 f12 m20 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅝㄴᴥ	f11 m20 e15 f11 m14 e3
ㅇㅣㅁᴥㅇㅝㄴᴥㅅㅣㄱᴥ	f11 m20 e15 f11 m14 e3 f9 m20 e0
ㅇㅣㅁᴥㅇㅝㄴᴥㅈㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m14 e3 f12 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅝㄴᴥㅎㅏㅇᴥ	f11 m20 e15 f11 m14 e3 f18 m0 e20
ㅇㅣㅁᴥㅇㅠㄴᴥㅎㅢᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m17 e3 f18 m19 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅡㄴᴥㄷㅗㅇᴥ	f11 m20 e15 f11 m18 e3 f3 m8 e20
ㅇㅣㅁᴥㅇㅡㄴᴥㅅㅜㄱᴥ	f11 m20 e15 f11 m18 e3 f9 m13 e0
ㅇㅣㅁᴥㅇㅡㄴᴥㅇㅏᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m18 e3 f11 m0 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅡㄴᴥㅈㅓㅇᴥ	f11 m20 e15 f11 m18 e3 f12 m4 e20
ㅇㅣㅁᴥㅇㅡㄴᴥㅈㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m18 e3 f12 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅣㄴᴥㅅㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m20 e3 f9 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅇㅣㄴᴥㅊㅓㄹᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f11 m20 e3 f14 m4 e7 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅏㅇᴥㄱㅠᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m0 e20 f0 m17 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅏㅇᴥㅈㅜㄴᴥ	f11 m20 e15 f12 m0 e20 f12 m13 e3
ㅇㅣㅁᴥㅈㅐᴥㄷㅓㄱᴥ	f11 m20 e15 f12 m1 f3 m4 e0
ㅇㅣㅁᴥㅈㅐᴥㅁㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m1 f6 m6 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅐᴥㅂㅓㅁᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m1 f7 m4 e15 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅐᴥㅅㅓㅇᴥ	f11 m20 e15 f12 m1 f9 m4 e20
ㅇㅣㅁᴥㅈㅐᴥㅇㅑㅇᴥ	f11 m20 e15 f12 m1 f11 m2 e20
ㅇㅣㅁᴥㅈㅐᴥㅇㅕㅇᴥ	f11 m20 e15 f12 m1 f11 m6 e20
ㅇㅣㅁᴥㅈㅐᴥㅇㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m1 f11 m6 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅐᴥㅇㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m1 f11 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅐᴥㅈㅓㅇᴥ	f11 m20 e15 f12 m1 f12 m4 e20
ㅇㅣㅁᴥㅈㅐᴥㅎㅕㄴᴥ	f11 m20 e15 f12 m1 f18 m6 e3
ㅇㅣㅁᴥㅈㅐᴥㅎㅗᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m1 f18 m8 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅁᴥㅌㅐㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m4 e15 f16 m1 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅇᴥ	f11 m20 e15 f12 m4 e20
ㅇㅣㅁᴥㅈㅓㅇᴥㅅㅣㄴᴥ	f11 m20 e15 f12 m4 e20 f9 m20 e3
ㅇㅣㅁᴥㅈㅓㅇᴥㅇㅜᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m4 e20 f11 m13 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅇᴥㅇㅜㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m4 e20 f11 m13 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅇᴥㅈㅣㄴᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m4 e20 f12 m20 e3 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅇᴥㅌㅐㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m4 e20 f16 m1 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅇᴥㅎㅕㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m4 e20 f18 m6 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅓㅇᴥㅎㅘㄴᴥ	f11 m20 e15 f12 m4 e20 f18 m9 e3
ㅇㅣㅁᴥㅈㅓㅇᴥㅎㅢᴥ	f11 m20 e15 f12 m4 e20 f18 m19
ㅇㅣㅁᴥㅈㅔᴥㅅㅓㄴᴥ	f11 m20 e15 f12 m5 f9 m4 e3
ㅇㅣㅁᴥㅈㅗㅇᴥㄱㅜㄱᴥ	f11 m20 e15 f12 m8 e20 f0 m13 e0
ㅇㅣㅁᴥㅈㅗㅇᴥㅁㅕㅇᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m8 e20 f6 m6 e20 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅗㅇᴥㅂㅐㄱᴥ	f11 m20 e15 f12 m8 e20 f7 m1 e0
ㅇㅣㅁᴥㅈㅗㅇᴥㅂㅗㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m8 e20 f7 m8 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅗㅇᴥㅅㅓㄱᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m8 e20 f9 m4 e0 f11 m5 f0 m5
ㅇㅣㅁᴥㅈㅗㅇᴥㅇㅕㄹᴥㅇㅔᴥㄱㅔᴥ	f11 m20 e15 f12 m8 e20 f11 m6 e7 f11 m5 f0 m5
